,name,album,artist,release_date,length
85,Dhadhang Dhang,Rowdy Rathore (Original Motion Picture Soundtrack),Sajid-Wajid,2012-06-24,275160
86,Kaise Mujhe,Ghajini,A.R. Rahman,2008-11-25,343741
87,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")","Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023-03-10,247714
88,O Bekhabar,Action Replayy,Pritam,2010-10-07,267251
89,Maheroo Maheroo,Super Nani (Original Motion Picture Soundtrack),Harshit Saxena,2018-06-19,274860
90,Samandar,Kis Kisko Pyaar Karoon (Original Motion Picture Soundtrack),Javed-Mohsin,2018-09-30,324193
91,Chaudhavi Shab,Heeramandi (Original Motion Picture Soundtrack),Sanjay Leela Bhansali,2024-04-29,243792
92,Chikni Chameli,Chikni Chameli,Shreya Ghoshal,2011-12-16,303413
93,Guli Mata,Guli Mata,Saad Lamjarred,2023-07-12,235574
94,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,260177
95,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]","Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",Shreya Ghoshal,2024-05-29,260262
96,Ghar More Pardesiya (Kalank),Kalank (Original Motion Picture Soundtrack),Pritam,2019-04-14,319635
97,Mujhe Haq Hai,Vivah (Original Motion Picture Soundtrack),Ravindra Jain,2006-01-01,302341
